DAERAH,NAM_BAHAGI,Bilangan Pengundi
DAERAH ASAJAYA,BAHAGIAN SAMARAHAN,30592
DAERAH BAU,BAHAGIAN KUCHING,44756
DAERAH BELAGA,BAHAGIAN KAPIT,18867
DAERAH BELURU,BAHAGIAN MIRI,20186
DAERAH BETONG,BAHAGIAN BETONG,44532
DAERAH BINTULU,BAHAGIAN BINTULU,87679
DAERAH BUKIT MABONG,BAHAGIAN KAPIT,15555
DAERAH DALAT,BAHAGIAN MUKAH,20032
DAERAH DARO,BAHAGIAN MUKAH,16881
DAERAH GEDONG,BAHAGIAN SAMARAHAN,10427
DAERAH JULAU,BAHAGIAN SARIKEI,20235
DAERAH KABONG,BAHAGIAN BETONG,20641
DAERAH KANOWIT,BAHAGIAN SIBU,30988
DAERAH KAPIT,BAHAGIAN KAPIT,32475
DAERAH KUCHING,BAHAGIAN KUCHING,433848
DAERAH LAWAS,BAHAGIAN LIMBANG,33655
DAERAH LIMBANG,BAHAGIAN LIMBANG,41999
DAERAH LINGGA,BAHAGIAN SRI AMAN,5972
DAERAH LUBOK ANTU,BAHAGIAN SRI AMAN,27014
DAERAH LUNDU,BAHAGIAN KUCHING,30485
DAERAH MARADONG,BAHAGIAN SARIKEI,28282
DAERAH MARUDI,BAHAGIAN MIRI,15437
DAERAH MATU,BAHAGIAN MUKAH,14174
DAERAH MIRI,BAHAGIAN MIRI,178136
DAERAH MUKAH,BAHAGIAN MUKAH,28399
DAERAH PAKAN,BAHAGIAN SARIKEI,12036
DAERAH PANTU,BAHAGIAN SRI AMAN,8462
DAERAH PUSA,BAHAGIAN BETONG,18496
DAERAH SAMARAHAN,BAHAGIAN SAMARAHAN,52490
DAERAH SARATOK,BAHAGIAN BETONG,23890
DAERAH SARIKEI,BAHAGIAN SARIKEI,46483
DAERAH SEBAUH,BAHAGIAN BINTULU,18864
DAERAH SEBUYAU,BAHAGIAN SAMARAHAN,15847
DAERAH SELANGAU,BAHAGIAN SIBU,24598
DAERAH SERIAN,BAHAGIAN SERIAN,63984
DAERAH SIBU,BAHAGIAN SIBU,198633
DAERAH SIBURAN,BAHAGIAN SERIAN,34780
DAERAH SIMUNJAN,BAHAGIAN SAMARAHAN,9107
DAERAH SONG,BAHAGIAN KAPIT,15866
DAERAH SRI AMAN,BAHAGIAN SRI AMAN,34799
DAERAH SUBIS,BAHAGIAN MIRI,36417
DAERAH TANJUNG MANIS,BAHAGIAN MUKAH,10280
DAERAH TATAU,BAHAGIAN BINTULU,20350
DAERAH TEBEDU,BAHAGIAN SERIAN,25733
DAERAH TELANG USAN,BAHAGIAN MIRI,20712
